sep=;
Año;Mes;Concepto;Pais / PV;Concepto II;Descripción;Moneda;Valor;Index Concepto;Columnas objetivo;Ámbito(s);Scope;Box;Column;Row;Source;Descripción resumen;Amount_text resumen
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv221;tottocowlpv221 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;10;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv188;tottocowlpv188 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;11;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv318;tottocowlpv318 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;12;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv343;tottocowlpv343 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;13;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv83;tottocowlpv83 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;14;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv105;tottocowlpv105 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;15;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv42;tottocowlpv42 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;16;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv26;tottocowlpv26 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;17;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv75;tottocowlpv75 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;18;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv3;tottocowlpv3 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;19;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv6;tottocowlpv6 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;20;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv319;tottocowlpv319 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;21;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocoinbound;tottocoinbound / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;22;column_exact;;
